"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"45",2017-02-14 12:00:00,2017-02-14 19:20:00,2017-02-14 20:55:00,2017-02-14 18:55:00,2017-02-14 19:30:00,2017-02-14 18:22:00,2017-02-14 20:40:00,2017-02-14 19:10:00
"46",2017-02-15 20:00:00,2017-02-15 20:00:00,2017-02-15 20:30:00,2017-02-15 21:00:00,2017-02-15 20:05:00,2017-02-15 20:26:00,2017-02-15 20:40:00,2017-02-15 20:35:00
"47",2017-02-16 20:00:00,2017-02-16 19:15:00,2017-02-16 11:55:00,2017-02-16 19:15:00,2017-02-16 20:00:00,2017-02-16 18:06:00,2017-02-16 20:05:00,2017-02-16 19:25:00
"48",2017-02-17 18:55:00,2017-02-17 18:55:00,2017-02-17 20:35:00,2017-02-17 20:00:00,2017-02-17 21:00:00,2017-02-17 19:49:00,2017-02-17 20:40:00,2017-02-17 20:15:00
"49",2017-02-18 19:10:00,2017-02-18 20:00:00,2017-02-18 21:00:00,2017-02-18 20:05:00,2017-02-18 21:00:00,2017-02-18 20:11:00,2017-02-18 20:40:00,2017-02-18 19:15:00
"50",2017-02-19 18:50:00,2017-02-19 19:50:00,2017-02-19 11:55:00,2017-02-19 19:15:00,2017-02-19 18:55:00,2017-02-19 18:06:00,2017-02-19 20:40:00,2017-02-19 18:50:00
"51",2017-02-20 19:55:00,2017-02-20 20:10:00,2017-02-20 19:25:00,2017-02-20 18:50:00,2017-02-20 20:00:00,2017-02-20 19:48:00,2017-02-20 20:40:00,2017-02-20 19:20:00
"52",2017-02-21 20:00:00,2017-02-21 20:00:00,2017-02-21 18:55:00,2017-02-21 20:20:00,2017-02-21 20:00:00,2017-02-21 19:59:00,2017-02-21 20:40:00,2017-02-21 20:35:00
"53",2017-02-22 19:30:00,2017-02-22 20:00:00,2017-02-22 22:15:00,2017-02-22 19:40:00,2017-02-22 20:40:00,2017-02-22 20:25:00,2017-02-22 20:40:00,2017-02-22 19:15:00
"54",2017-02-23 19:25:00,2017-02-23 19:20:00,2017-02-23 19:00:00,2017-02-23 20:00:00,2017-02-23 19:30:00,2017-02-23 19:41:00,2017-02-23 20:40:00,2017-02-23 20:40:00
"55",2017-02-24 18:55:00,2017-02-24 19:55:00,2017-02-24 21:55:00,2017-02-24 18:55:00,2017-02-24 20:40:00,2017-02-24 20:04:00,2017-02-24 20:40:00,2017-02-24 20:15:00
"56",2017-02-25 18:35:00,2017-02-25 19:40:00,2017-02-25 21:20:00,2017-02-25 20:05:00,2017-02-25 19:50:00,2017-02-25 20:04:00,2017-02-25 20:40:00,2017-02-25 19:10:00
"57",2017-02-26 20:50:00,2017-02-26 21:00:00,2017-02-26 21:05:00,2017-02-26 19:20:00,2017-02-26 20:40:00,2017-02-26 20:39:00,2017-02-26 21:00:00,2017-02-26 19:10:00
"58",2017-02-27 18:55:00,2017-02-27 20:00:00,2017-02-27 18:55:00,2017-02-27 19:20:00,2017-02-27 20:40:00,2017-02-27 19:34:00,2017-02-27 20:40:00,2017-02-27 19:45:00
"59",2017-02-28 20:00:00,2017-02-28 20:10:00,2017-02-28 20:20:00,2017-02-28 20:00:00,2017-02-28 20:30:00,2017-02-28 20:14:00,2017-02-28 20:40:00,2017-02-28 19:45:00
"60",2017-03-01 21:00:00,2017-03-01 17:55:00,2017-03-01 18:25:00,2017-03-01 19:00:00,2017-03-01 18:45:00,2017-03-01 19:12:00,2017-03-01 19:40:00,2017-03-01 18:30:00
"61",2017-03-02 21:00:00,2017-03-02 20:00:00,2017-03-02 20:35:00,2017-03-02 20:15:00,2017-03-02 20:40:00,2017-03-02 20:30:00,2017-03-02 20:40:00,2017-03-02 20:35:00
"62",2017-03-03 20:00:00,2017-03-03 19:55:00,2017-03-03 18:40:00,2017-03-03 20:25:00,2017-03-03 20:05:00,2017-03-03 19:56:00,2017-03-03 20:40:00,2017-03-03 20:20:00
"63",2017-03-04 20:10:00,2017-03-04 22:05:00,2017-03-04 22:55:00,2017-03-04 20:00:00,2017-03-04 20:40:00,2017-03-04 21:10:00,2017-03-04 20:40:00,2017-03-04 19:15:00
"64",2017-03-05 18:55:00,2017-03-05 19:10:00,2017-03-05 16:55:00,2017-03-05 19:10:00,2017-03-05 20:00:00,2017-03-05 18:58:00,2017-03-05 20:40:00,2017-03-05 17:25:00
"65",2017-03-06 19:10:00,2017-03-06 13:55:00,2017-03-06 22:00:00,2017-03-06 19:15:00,2017-03-06 19:55:00,2017-03-06 19:00:00,2017-03-06 20:40:00,2017-03-06 16:25:00
