"","xgboost","cubist","deepLearning","rf","LSTM","avg","median","real_peak"
"40",2017-02-09 19:25:00,2017-02-09 20:05:00,2017-02-09 17:55:00,2017-02-09 19:20:00,2017-02-09 19:45:00,2017-02-09 19:29:00,2017-02-09 20:40:00,2017-02-09 19:30:00
"41",2017-02-10 21:05:00,2017-02-10 17:40:00,2017-02-10 12:00:00,2017-02-10 20:00:00,2017-02-10 20:00:00,2017-02-10 18:17:00,2017-02-10 20:40:00,2017-02-10 19:10:00
"42",2017-02-11 18:10:00,2017-02-11 20:20:00,2017-02-11 17:55:00,2017-02-11 18:15:00,2017-02-11 19:55:00,2017-02-11 18:55:00,2017-02-11 19:55:00,2017-02-11 18:40:00
"43",2017-02-12 19:25:00,2017-02-12 18:55:00,2017-02-12 19:00:00,2017-02-12 17:55:00,2017-02-12 20:00:00,2017-02-12 19:11:00,2017-02-12 20:40:00,2017-02-12 18:45:00
"44",2017-02-13 19:40:00,2017-02-13 21:00:00,2017-02-13 20:30:00,2017-02-13 19:25:00,2017-02-13 19:55:00,2017-02-13 20:15:00,2017-02-13 20:40:00,2017-02-13 19:55:00
"45",2017-02-14 19:25:00,2017-02-14 20:00:00,2017-02-14 12:40:00,2017-02-14 18:55:00,2017-02-14 20:05:00,2017-02-14 18:20:00,2017-02-14 20:40:00,2017-02-14 19:10:00
"46",2017-02-15 20:50:00,2017-02-15 20:00:00,2017-02-15 20:00:00,2017-02-15 21:00:00,2017-02-15 20:00:00,2017-02-15 20:30:00,2017-02-15 20:40:00,2017-02-15 20:35:00
"47",2017-02-16 20:00:00,2017-02-16 20:00:00,2017-02-16 20:30:00,2017-02-16 19:20:00,2017-02-16 20:05:00,2017-02-16 19:59:00,2017-02-16 20:05:00,2017-02-16 19:25:00
"48",2017-02-17 20:05:00,2017-02-17 19:35:00,2017-02-17 19:55:00,2017-02-17 19:10:00,2017-02-17 19:55:00,2017-02-17 19:53:00,2017-02-17 20:40:00,2017-02-17 20:15:00
"49",2017-02-18 21:00:00,2017-02-18 18:35:00,2017-02-18 19:55:00,2017-02-18 19:15:00,2017-02-18 20:05:00,2017-02-18 19:53:00,2017-02-18 20:40:00,2017-02-18 19:15:00
"50",2017-02-19 19:05:00,2017-02-19 19:45:00,2017-02-19 18:55:00,2017-02-19 20:00:00,2017-02-19 19:45:00,2017-02-19 19:41:00,2017-02-19 20:40:00,2017-02-19 18:50:00
"51",2017-02-20 18:45:00,2017-02-20 18:20:00,2017-02-20 20:00:00,2017-02-20 19:00:00,2017-02-20 20:00:00,2017-02-20 19:21:00,2017-02-20 20:40:00,2017-02-20 19:20:00
"52",2017-02-21 20:00:00,2017-02-21 20:00:00,2017-02-21 20:15:00,2017-02-21 21:00:00,2017-02-21 20:05:00,2017-02-21 20:23:00,2017-02-21 20:40:00,2017-02-21 20:35:00
"53",2017-02-22 19:00:00,2017-02-22 21:00:00,2017-02-22 20:35:00,2017-02-22 19:35:00,2017-02-22 19:50:00,2017-02-22 20:10:00,2017-02-22 20:40:00,2017-02-22 19:15:00
"54",2017-02-23 18:45:00,2017-02-23 20:05:00,2017-02-23 22:00:00,2017-02-23 20:00:00,2017-02-23 20:05:00,2017-02-23 20:18:00,2017-02-23 20:40:00,2017-02-23 20:40:00
"55",2017-02-24 20:00:00,2017-02-24 18:25:00,2017-02-24 20:55:00,2017-02-24 20:00:00,2017-02-24 20:40:00,2017-02-24 20:00:00,2017-02-24 20:40:00,2017-02-24 20:15:00
"56",2017-02-25 17:40:00,2017-02-25 20:00:00,2017-02-25 19:55:00,2017-02-25 21:00:00,2017-02-25 20:10:00,2017-02-25 19:51:00,2017-02-25 20:40:00,2017-02-25 19:10:00
